aol.com,AOL,mail.aol.com
aol.de,AOL,mail.aol.de
arcor.de,Arcor,www.arcor.de/login/
email.com,Mail.com,www.mail.com
fastmail.fm,FastMail,www.fastmail.com
freemail.hu,[freemail],freemail.hu
freenet.de,freenetMail,email.freenet.de
gmail.com,Gmail,mail.google.com
gmail.de,Gmail,mail.google.com
gmx.com,GMX,www.gmx.com
gmx.de,GMX,www.gmx.net
gmx.net,GMX,www.gmx.net
googlemail.com,Gmail,mail.google.com
hotmail.co.uk,Outlook.com,outlook.live.com
hotmail.com,Outlook.com,outlook.live.com
hotmail.de,Outlook.com,outlook.live.com
hush.com,Hushmail,www.hushmail.com
hushmail.com,Hushmail,www.hushmail.com
hushmail.me,Hushmail,www.hushmail.com
inbox.com,Inbox.com,www.inbox.com/login.aspx
lycos.com,Lycos,www.mail.lycos.com
lycos.de,Lycos,www.mail.lycos.com
mail.com,Mail.com,www.mail.com
mail.de,mail.de,my.mail.de
mail.ru,Mail.Ru,mail.ru
mailcatch.com,MailCatch,mailcatch.com
microsoft.com,Outlook.com,outlook.live.com
myself.com,Mail.com,www.mail.com
outlook.com,Outlook.com,outlook.live.com
post.com,Mail.com,www.mail.com
posteo.de,Posteo,posteo.de/login
protonmail.ch,ProtonMail,mail.protonmail.com
protonmail.com,ProtonMail,mail.protonmail.com
t-online.de,T-Online,accounts.login.idm.telekom.com
usa.com,Mail.com,www.mail.com
vodafone.de,Vodafone,webmail.vodafone.de
web.de,Web.de,www.web.de
webmail.co.za,Webmail,www.webmail.co.za/login.php
yahoo.co.uk,Yahoo! Mail,mail.yahoo.co.uk
yahoo.com,Yahoo! Mail,mail.yahoo.com
yahoo.de,Yahoo! Mail,mail.yahoo.com
yahoo.fr,Yahoo! Mail,mail.yahoo.fr
yandex.com,Yandex,mail.yandex.com
yandex.ru,Yandex,mail.yandex.ru
zoho.com,Zoho,www.zoho.com/login.html
zoho.de,Zoho,www.zoho.com/login.html